Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2025-09-11 09:15:00+05:30,1380.9000244140625,1381.0,1375.4000244140625,1376.300048828125,0
2025-09-11 09:20:00+05:30,1382.199951171875,1382.199951171875,1380.699951171875,1380.9000244140625,103563
2025-09-11 09:25:00+05:30,1380.5999755859375,1383.0,1380.5999755859375,1382.4000244140625,140118
2025-09-11 09:30:00+05:30,1380.300048828125,1381.800048828125,1380.300048828125,1380.699951171875,69051
2025-09-11 09:35:00+05:30,1381.699951171875,1381.9000244140625,1379.5999755859375,1380.199951171875,86777
2025-09-11 09:40:00+05:30,1381.4000244140625,1381.699951171875,1380.699951171875,1381.699951171875,36372
2025-09-11 09:45:00+05:30,1382.0999755859375,1382.5,1380.9000244140625,1381.300048828125,61170
2025-09-11 09:50:00+05:30,1382.0999755859375,1382.5,1381.9000244140625,1382.4000244140625,48300
2025-09-11 09:55:00+05:30,1381.699951171875,1382.0999755859375,1381.5,1382.0,27115
2025-09-11 10:00:00+05:30,1381.0,1383.0,1380.699951171875,1381.9000244140625,91360
2025-09-11 10:05:00+05:30,1380.199951171875,1381.0,1380.0999755859375,1380.9000244140625,43832
2025-09-11 10:10:00+05:30,1381.0,1381.0,1380.0,1380.199951171875,38423
2025-09-11 10:15:00+05:30,1381.300048828125,1382.0,1380.9000244140625,1380.9000244140625,28980
2025-09-11 10:20:00+05:30,1382.199951171875,1382.199951171875,1381.0,1381.0999755859375,32045
2025-09-11 10:25:00+05:30,1382.199951171875,1382.4000244140625,1381.5999755859375,1382.199951171875,52328
2025-09-11 10:30:00+05:30,1382.800048828125,1383.0,1381.9000244140625,1382.199951171875,51236
2025-09-11 10:35:00+05:30,1383.5999755859375,1383.699951171875,1382.5,1382.699951171875,114545
2025-09-11 10:40:00+05:30,1383.0,1383.699951171875,1382.800048828125,1383.699951171875,83724
2025-09-11 10:45:00+05:30,1383.5,1384.5999755859375,1382.0,1382.9000244140625,151167
2025-09-11 10:50:00+05:30,1382.9000244140625,1383.800048828125,1382.4000244140625,1383.5,62490
